title,release_date,tmdb_vote_count,tmdb_vote_average,genre_names,budget,revenue,runtime_in_min,tmdb_popularity,production_company_name,production_country_name,spoken_languages,director,writer,actors,imdb_rating,imdb_votes,metascore,age_rating,awards,rotten_tomatoes_rating,meta_critic_rating
Speak No Evil,2024-09-11,1296,7.259,"Horror, Thriller",15000000.0,76756109.0,110.0,84.802,Blumhouse Productions,United States of America,English,James Watkins,"James Watkins, Christian Tafdrup, Mads Tafdrup","James McAvoy, Mackenzie Davis, Scoot McNairy",6.8,"76,849",66.0,R,4 nominations total,83.0,66.0
Transformers One,2024-09-11,1081,8.1,"Animation, Science Fiction, Adventure, Family",75000000.0,128888103.0,104.0,229.95,"Paramount Animation, di Bonaventura Pictures, DeSanto/Murphy Productions, Bay Films, New Republic Pictures, Hasbro Entertainment",United States of America,English,Josh Cooley,"Eric Pearson, Andrew Barrer, Gabriel Ferrari","Chris Hemsworth, Brian Tyree Henry, Scarlett Johansson",7.6,"40,452",64.0,PG,15 nominations total,89.0,64.0
The Substance,2024-09-07,3849,7.1,"Horror, Science Fiction",17500000.0,76506196.0,141.0,489.668,"Working Title Films, Blacksmith, Working Title Films","France, United Kingdom, United States of America",English,Coralie Fargeat,Coralie Fargeat,"Demi Moore, Margaret Qualley, Dennis Quaid",7.3,"210,331",78.0,R,Nominated for 5 BAFTA 73 wins & 207 nominations total,89.0,78.0
Beetlejuice Beetlejuice,2024-09-04,2309,7.073,"Comedy, Fantasy, Horror",100000000.0,451100435.0,105.0,83.085,"Warner Bros. Pictures, Geffen Pictures, Plan B Entertainment, Tim Burton Productions, Tommy Harper Productions, Domain Entertainment",United States of America,English,Tim Burton,"Michael McDowell, Larry Wilson, Alfred Gough","Michael Keaton, Winona Ryder, Catherine O'Hara",6.7,"136,130",62.0,PG-13,1 win & 39 nominations total,75.0,62.0
Hellboy: The Crooked Man,2024-08-29,359,5.265,"Fantasy, Horror, Action",20000000.0,2014050.0,100.0,76.324,"Dark Horse Entertainment, Millennium Media, Telepool, Icon Productions","Germany, United States of America",English,Brian Taylor,"Christopher Golden, Mike Mignola, Brian Taylor","Jack Kesy, Jefferson White, Adeline Rudolph",4.5,"10,754",45.0,R,,39.0,45.0
Flow,2024-08-29,1142,8.331,"Animation, Fantasy, Adventure",3500000.0,14463155.0,85.0,333.925,"Dream Well Studio, Sacrebleu Productions, Take Five, ARTE France Cinéma, RTBF","Belgium, France, Latvia",No Language,Gints Zilbalodis,"Gints Zilbalodis, Matiss Kaza",,7.9,"20,934",86.0,PG,Nominated for 2 BAFTA 33 wins & 63 nominations total,97.0,86.0
Afraid,2024-08-28,344,5.988,"Horror, Science Fiction, Thriller",12000000.0,12977758.0,84.0,52.751,"Blumhouse Productions, Depth of Field",United States of America,English,Chris Weitz,Chris Weitz,"John Cho, Katherine Waterston, Keith Carradine",5.2,"10,512",28.0,PG-13,,22.0,28.0
Rebel Ridge,2024-08-27,1205,7.0,"Crime, Action, Thriller, Drama",,,132.0,66.611,"filmscience, Bonneville Pictures",United States of America,English,Jeremy Saulnier,Jeremy Saulnier,"Aaron Pierre, Don Johnson, AnnaSophia Robb",6.8,"76,181",76.0,TV-MA,6 nominations total,96.0,76.0
Strange Darling,2024-08-22,393,7.0,"Crime, Horror, Thriller",4000000.0,3504687.0,98.0,109.531,"Miramax, Spooky Pictures",United States of America,English,JT Mollner,JT Mollner,"Willa Fitzgerald, Kyle Gallner, Madisen Beaty",7.1,"40,316",80.0,R,5 wins & 16 nominations total,95.0,80.0
The Killer,2024-08-22,371,6.4,"Action, Thriller, Crime",30000000.0,,126.0,53.64,"Universal Pictures, Atlas Entertainment, A Better Tomorrow Films, Entertainment One","Canada, United States of America","French, English",John Woo,"John Woo, Brian Helgeland, Josh Campbell","Nathalie Emmanuel, Omar Sy, Sam Worthington",5.7,"10,129",60.0,R,1 nomination,85.0,60.0
Emilia Pérez,2024-08-21,1260,7.0,"Drama, Thriller",26885000.0,11481729.0,132.0,136.608,"Why Not Productions, Pathé, France 2 Cinéma, Page 114, Saint Laurent Productions, Saint Laurent, Library Pictures International, Logical Content Ventures, Les Films du Fleuve, The Veterans, Vixens, Casa Kafka Pictures, Pimienta Films","Belgium, France, United States of America, Mexico","Spanish, English",Jacques Audiard,"Jacques Audiard, Thomas Bidegain, Léa Mysius","Zoe Saldana, Karla Sofía Gascón, Selena Gomez",6.4,"32,909",71.0,R,Nominated for 11 BAFTA 82 wins & 185 nominations total,,71.0
The Crow,2024-08-21,947,5.833,"Action, Fantasy, Horror",50000000.0,24109036.0,111.0,136.092,"Davis Films, Pressman Film, Hassell Free Productions, Electric Shadow Company, 30WEST, Ashland Hill Media Finance, FilmNation Entertainment, Maze Pictures, Occupant Entertainment","France, Germany, United Kingdom, United States of America",English,Rupert Sanders,"James O'Barr, Zach Baylin, William Josef Schneider","Bill Skarsgård, FKA twigs, Danny Huston",4.7,"29,586",30.0,R,2 nominations total,87.0,30.0
Blink Twice,2024-08-21,1265,6.7,"Mystery, Thriller, Horror",20000000.0,46393906.0,102.0,72.756,"Metro-Goldwyn-Mayer, Free Association, This Is Important, Bold Choices",United States of America,English,Zoë Kravitz,"Zoë Kravitz, E.T. Feigenbaum","Naomi Ackie, Channing Tatum, Alia Shawkat",6.5,"85,125",66.0,R,2 wins & 20 nominations total,75.0,66.0
The Deliverance,2024-08-16,460,6.1,"Horror, Thriller",,,112.0,35.416,"Tucker Tooley Entertainment, Turn Left Productions, Lee Daniels Entertainment",United States of America,English,Lee Daniels,"David Coggeshall, Elijah Bynum","Andra Day, Glenn Close, Anthony B. Jenkins",5.1,"21,355",39.0,R,1 win & 4 nominations total,34.0,39.0
Subservience,2024-08-15,611,6.68,"Science Fiction, Thriller",4400000.0,262793.0,105.0,107.208,"Millennium Media, Campbell Grobman Films, XYZ Films",United States of America,English,S.K. Dale,"Will Honley, April Maguire","Megan Fox, Michele Morrone, Madeline Zima",5.4,"20,866",,R,,50.0,
The Union,2024-08-15,939,6.2,"Action, Comedy",,,109.0,52.078,"Municipal Pictures, Closest to the Hole Productions, Leverage Entertainment",United States of America,English,Julian Farino,"Joe Barton, David Guggenheim","Mark Wahlberg, Halle Berry, J.K. Simmons",5.4,"48,939",44.0,PG-13,,38.0,44.0
Jackpot!,2024-08-13,641,6.4,"Comedy, Action",,,107.0,42.733,"Roth-Kirschenbaum Films, Feigco Entertainment, Amazon MGM Studios",United States of America,English,Paul Feig,Rob Yescombe,"John Cena, Awkwafina, Simu Liu",5.8,"29,090",41.0,R,1 win total,32.0,41.0
Alien: Romulus,2024-08-13,3320,7.2,"Horror, Science Fiction",80000000.0,350865342.0,119.0,294.601,"20th Century Studios, Scott Free Productions, Brandywine Productions",United States of America,English,Fede Alvarez,"Dan O'Bannon, Ronald Shusett, Fede Alvarez","Cailee Spaeny, David Jonsson, Archie Renaux",7.1,"222,398",64.0,R,Nominated for 1 Oscar. 5 wins & 33 nominations total,80.0,64.0
It Ends with Us,2024-08-07,1414,7.106,"Drama, Romance",25000000.0,350993761.0,131.0,100.532,"Columbia Pictures, Wayfarer Studios, Saks Picture Company",United States of America,English,Justin Baldoni,"Christy Hall, Colleen Hoover","Blake Lively, Justin Baldoni, Jenny Slate",6.4,"72,387",53.0,PG-13,3 nominations total,55.0,53.0
Borderlands,2024-08-07,1017,5.728,"Action, Science Fiction, Comedy",115000000.0,32978510.0,101.0,94.332,"Lionsgate, Arad Productions, Picturestart, Gearbox Studios, 2K, Hercules Film Fund","Luxembourg, United States of America",English,Eli Roth,"Eli Roth, Joe Abercrombie","Cate Blanchett, Kevin Hart, Edgar Ramírez",4.6,"40,118",26.0,PG-13,1 win & 10 nominations total,10.0,26.0
The Instigators,2024-08-02,442,6.2,"Crime, Comedy, Action",,11098.0,102.0,44.008,"Artists Equity, The Walsh Company, Apple Studios, Studio 8",United States of America,English,Doug Liman,"Chuck MacLean, Casey Affleck","Matt Damon, Casey Affleck, Hong Chau",6.2,"34,991",48.0,R,,40.0,48.0
Trap,2024-07-31,1923,6.4,"Crime, Horror, Mystery, Thriller",30000000.0,82677281.0,105.0,57.314,Blinding Edge Pictures,United States of America,English,M. Night Shyamalan,M. Night Shyamalan,"Josh Hartnett, Ariel Donoghue, Saleka Shyamalan",5.9,"121,143",52.0,PG-13,1 win & 2 nominations total,57.0,52.0
Deadpool & Wolverine,2024-07-24,6709,7.628,"Action, Comedy, Science Fiction",200000000.0,1338073645.0,128.0,402.402,"Marvel Studios, Maximum Effort, 21 Laps Entertainment, 20th Century Studios, Kevin Feige Productions, TSG Entertainment",United States of America,English,Shawn Levy,"Ryan Reynolds, Rhett Reese, Paul Wernick","Ryan Reynolds, Hugh Jackman, Emma Corrin",7.6,"450,183",56.0,R,8 wins & 44 nominations total,78.0,56.0
Oddity,2024-07-19,399,6.7,"Horror, Mystery",,1699044.0,98.0,161.061,"Keeper Pictures, Nowhere, Shudder","Ireland, United States of America",English,Damian Mc Carthy,Damian Mc Carthy,"Carolyn Bracken, Johnny French, Steve Wall",6.7,"33,757",78.0,R,5 wins & 3 nominations total,96.0,78.0
My Spy The Eternal City,2024-07-18,364,6.7,"Action, Comedy",,,112.0,59.591,"STXfilms, MWM Studios, Good Fear, Dogbone Entertainment, Amazon MGM Studios",United States of America,English,Peter Segal,"Erich Hoeber, Jon Hoeber, Peter Segal","Dave Bautista, Chloe Coleman, Kristen Schaal",5.7,"10,336",36.0,PG-13,,23.0,36.0
Descendants: The Rise of Red,2024-07-11,394,6.865,"Fantasy, Adventure, Family, Comedy",,,92.0,88.319,"Suzanne Todd Productions, Potato Monkey Productions, GWave Productions",United States of America,English,Jennifer Phang,"Sara Parriott, Josann McGibbon, Dan Frey","Kylie Cantrall, Malia Baker, Dara Reneé",4.7,"6,674",,TV-G,3 nominations total,57.0,
Project Silence,2024-07-11,321,7.019,"Thriller, Action, Horror, Science Fiction",14750000.0,6283415.0,96.0,115.638,"Blaad Studios, CJ ENM, CJ ENM Studios",South Korea,"English, Korean",Kim Tae-gon,"Kim Tae-gon, Park Joo-suk, Kim Yong-hwa","Lee Sun-kyun, Ju Ji-hoon, Kim Hee-won",5.5,"2,236",,,,,
Longlegs,2024-07-10,1796,6.594,"Crime, Horror, Thriller",10000000.0,126942386.0,101.0,92.444,"C2 Motion Picture Group, Saturn Films, Oddfellows Entertainment, Traffic., Range Media Partners","Canada, United States of America",English,Osgood Perkins,Osgood Perkins,"Maika Monroe, Nicolas Cage, Blair Underwood",6.6,"161,715",77.0,R,2 wins & 14 nominations total,85.0,77.0
Fly Me to the Moon,2024-07-10,805,6.865,"Romance, Comedy",100000000.0,42247783.0,132.0,37.038,"These Pictures, Berlanti Productions, Apple Studios",United States of America,English,Greg Berlanti,"Keenan Flynn, Bill Kirstein, Rose Gilroy","Scarlett Johansson, Channing Tatum, Woody Harrelson",6.6,"44,219",53.0,PG-13,3 nominations total,65.0,53.0
Twisters,2024-07-10,2216,6.9,"Action, Thriller",155000000.0,370962265.0,123.0,94.391,"Universal Pictures, Warner Bros. Pictures, Amblin Entertainment, Domain Entertainment",United States of America,English,Lee Isaac Chung,"Mark L. Smith, Joseph Kosinski, Michael Crichton","Daisy Edgar-Jones, Glen Powell, Anthony Ramos",6.5,"150,147",65.0,PG-13,22 nominations total,75.0,65.0
MaXXXine,2024-07-04,977,6.3,"Horror, Mystery, Crime",1000000.0,22057160.0,104.0,53.472,"A24, Motel Mojave, Access Entertainment",United States of America,English,Ti West,Ti West,"Charley Rowan McCain, Simon Prast, Mia Goth",6.3,"59,472",64.0,R,6 nominations total,72.0,64.0
Kill,2024-07-03,338,7.126,"Action, Crime, Thriller, Drama",4800000.0,5600000.0,105.0,60.884,"Sikhya Entertainment, Dharma Productions",India,Hindi,Nikhil Nagesh Bhat,"Nikhil Nagesh Bhat, Ayesha Syed","Lakshya, Raghav Juyal, Tanya Maniktala",7.5,"36,573",74.0,R,4 wins & 8 nominations total,89.0,74.0
The Count of Monte Cristo,2024-06-28,1418,8.045,"Action, Adventure, Drama",46000000.0,75360860.0,178.0,163.737,"Chapter 2, Fargo Films, Pathé, M6 Films",France,"French, English, Italian, Romanian","Alexandre de La Patellière, Matthieu Delaporte","Alexandre Dumas, Alexandre de La Patellière, Matthieu Delaporte","Pierre Niney, Bastien Bouillon, Anaïs Demoustier",7.6,"26,782",75.0,,4 wins & 4 nominations total,96.0,75.0
A Family Affair,2024-06-27,600,5.798,"Romance, Comedy",,,114.0,33.995,Roth-Kirschenbaum Films,United States of America,English,Richard LaGravenese,Carrie Solomon,"Nicole Kidman, Zac Efron, Joey King",5.3,"34,557",43.0,PG-13,,40.0,43.0
Horizon: An American Saga - Chapter 1,2024-06-26,462,6.9,"Western, Drama",50000000.0,38235702.0,182.0,52.108,Territory Pictures,United States of America,"Mandarin, English, Navajo",Kevin Costner,"Jon Baird, Kevin Costner, Mark Kasdan","Kevin Costner, Sienna Miller, Sam Worthington",6.7,"31,940",49.0,R,1 nomination total,51.0,49.0
A Quiet Place: Day One,2024-06-26,2534,6.752,"Horror, Science Fiction, Thriller",67000000.0,261786322.0,99.0,130.5,"Paramount Pictures, Platinum Dunes, Sunday Night Productions",United States of America,English,Michael Sarnoski,"Michael Sarnoski, John Krasinski, Bryan Woods","Lupita Nyong'o, Joseph Quinn, Alex Wolff",6.3,"130,708",68.0,PG-13,2 wins & 9 nominations total,86.0,68.0
Trigger Warning,2024-06-20,508,5.7,Action,,,106.0,38.769,"Thunder Road, Mexican Spitfire",United States of America,English,Mouly Surya,"John Brancato, Josh Olson, Halley Wegryn Gross","Jessica Alba, Mark Webber, Anthony Michael Hall",4.6,"18,870",36.0,TV-MA,1 win total,20.0,36.0
Despicable Me 4,2024-06-20,2554,7.061,"Animation, Family, Comedy, Science Fiction",100000000.0,969280910.0,94.0,370.766,"Universal Pictures, Illumination",United States of America,English,"Chris Renaud, Patrick Delage","Mike White, Ken Daurio","Steve Carell, Kristen Wiig, Pierre Coffin",6.2,"56,984",52.0,PG,1 win & 3 nominations total,56.0,52.0
Beverly Hills Cop: Axel F,2024-06-20,1182,6.695,"Action, Comedy, Crime",150000000.0,,118.0,75.185,"Don Simpson/Jerry Bruckheimer Films, Eddie Murphy Productions",United States of America,English,Mark Molloy,"Will Beall, Tom Gormican, Kevin Etten","Eddie Murphy, Joseph Gordon-Levitt, Taylour Paige",6.4,"78,345",53.0,R,2 wins & 1 nomination total,63.0,53.0
The Bikeriders,2024-06-19,825,6.727,"Crime, Drama",40000000.0,36110860.0,116.0,32.349,"Tri-State Pictures, New Regency Pictures, Regency Enterprises",United States of America,English,Jeff Nichols,"Jeff Nichols, Danny Lyon","Austin Butler, Jodie Comer, Tom Hardy",6.7,"59,672",70.0,R,1 win & 9 nominations total,80.0,70.0
Ultraman: Rising,2024-06-14,303,8.2,"Animation, Science Fiction, Family, Action",,,117.0,25.691,"Tsuburaya Productions, Netflix","Japan, United States of America","English, Japanese","Shannon Tindle, John Aoshima","Shannon Tindle, Marc Haimes","Christopher Sean, Tamlyn Tomita, Rob Fukuzaki",6.9,"5,769",66.0,PG,1 win & 1 nomination total,86.0,66.0
Inside Out 2,2024-06-11,5537,7.561,"Animation, Adventure, Comedy, Family",200000000.0,1698778437.0,97.0,345.232,"Walt Disney Pictures, Pixar",United States of America,English,Kelsey Mann,"Meg LeFauve, Dave Holstein, Kelsey Mann","Amy Poehler, Maya Hawke, Kensington Tallman",7.6,"201,664",73.0,PG,Nominated for 1 Oscar. 3 wins & 83 nominations total,91.0,73.0
The Watchers,2024-06-06,1173,6.448,"Fantasy, Horror, Mystery",30000000.0,51147812.0,102.0,54.369,"Blinding Edge Pictures, Inimitable Pictures, Fís Éireann/Screen Ireland","United States of America, Ireland",English,Ishana Shyamalan,"Ishana Shyamalan, A.M. Shine","Dakota Fanning, Georgina Campbell, Olwen Fouéré",5.7,"51,143",46.0,PG-13,,32.0,46.0
Bad Boys: Ride or Die,2024-06-05,2746,7.392,"Action, Comedy, Crime, Thriller, Adventure",100000000.0,404547819.0,115.0,271.355,"Westbrook, Columbia Pictures, Don Simpson/Jerry Bruckheimer Films, 2.0 Entertainment",United States of America,English,"Adil El Arbi, Bilall Fallah","Chris Bremner, Will Beall, George Gallo","Will Smith, Martin Lawrence, Vanessa Hudgens",6.5,"95,215",54.0,R,4 nominations total,65.0,54.0
Under Paris,2024-06-04,1247,5.958,"Action, Horror",,,104.0,80.833,Let Me Be,France,French,Xavier Gens,"Yannick Dahan, Maud Heywang, Xavier Gens","Bérénice Bejo, Nassim Lyes, Léa Léviant",5.2,"34,515",57.0,TV-MA,,63.0,57.0
In a Violent Nature,2024-05-31,306,5.75,"Horror, Thriller",600000.0,4258197.0,94.0,41.534,"Low Sky Productions, Zygote Pictures",Canada,English,Chris Nash,Chris Nash,"Ry Barrett, Andrea Pavlovic, Cameron Love",5.6,"21,366",,Not Rated,1 win & 2 nominations,78.0,
Young Woman and the Sea,2024-05-31,324,7.9,"History, Drama",40000000.0,581725.0,129.0,23.241,"Walt Disney Pictures, Jerry Bruckheimer Films",United States of America,English,Joachim Rønning,"Jeff Nathanson, Glenn Stout","Daisy Ridley, Tilda Cobham-Hervey, Stephen Graham",7.5,"14,422",62.0,PG,1 win & 4 nominations total,88.0,62.0
The Tearsmith,2024-04-03,830,6.5,"Romance, Drama",7000000.0,,106.0,69.315,Colorado Film,Italy,Italian,Alessandro Genovesi,"Eleonora Fiorini, Alessandro Genovesi, Erin Doom","Simone Baldasseroni, Caterina Ferioli, Sabrina Paravicini",5.2,"11,402",,TV-MA,,17.0,
Kinds of Kindness,2024-05-30,907,6.573,"Drama, Comedy",15000000.0,16398509.0,164.0,39.195,"Searchlight Pictures, Film4 Productions, TSG Entertainment, Element Pictures, Limp","Ireland, United Kingdom, United States of America",English,Yorgos Lanthimos,"Yorgos Lanthimos, Efthimis Filippou","Emma Stone, Jesse Plemons, Willem Dafoe",6.6,"47,769",,R,2 wins & 5 nominations,71.0,
The Exorcism,2024-05-30,300,5.057,"Horror, Thriller",22000000.0,12610418.0,96.0,55.166,"Miramax, Outerbanks Entertainment",United States of America,English,Joshua John Miller,"M.A. Fortin, Joshua John Miller","Russell Crowe, Ryan Simpkins, Sam Worthington",4.2,"10,354",46.0,R,,27.0,46.0
Atlas,2024-05-23,1328,6.765,"Science Fiction, Action",100000000.0,,120.0,50.26,"Safehouse Pictures, ASAP Entertainment, Nuyorican Productions, Berlanti Productions",United States of America,English,Brad Peyton,"Leo Sardarian, Aron Eli Coleite","Jennifer Lopez, Simu Liu, Sterling K. Brown",5.6,"53,681",37.0,PG-13,1 win & 2 nominations total,19.0,37.0
Furiosa: A Mad Max Saga,2024-05-22,3890,7.498,"Action, Science Fiction, Adventure",170000000.0,173775791.0,149.0,149.18,"Warner Bros. Pictures, Kennedy Miller Mitchell, Domain Entertainment","Australia, United States of America",English,George Miller,"George Miller, Nick Lathouris","Anya Taylor-Joy, Chris Hemsworth, Tom Burke",7.5,"261,736",79.0,R,18 wins & 106 nominations total,90.0,79.0
Hit Man,2024-05-16,1189,6.8,"Comedy, Romance, Crime",8800000.0,5101673.0,116.0,52.932,"Aggregate Films, BarnStorm Productions, Detour Filmproduction, AGC Studios, Cinetic Media, Monarch Media, Shivhans Pictures",United States of America,English,Richard Linklater,"Richard Linklater, Glen Powell, Skip Hollandsworth","Glen Powell, Adria Arjona, Austin Amelio",6.8,"103,741",82.0,R,3 wins & 19 nominations total,95.0,82.0
The Strangers: Chapter 1,2024-05-15,465,5.787,"Horror, Thriller",8500000.0,48166448.0,91.0,45.235,"Fifth Element Productions, Sherbone Media, Lipsync Productions, Stream Media, The Strangers Films Limited, Hasbula Productions, Lionsgate","Slovakia, Spain, United Kingdom, United States of America",English,Renny Harlin,"Alan R. Cohen, Alan Freedland, Bryan Bertino","Madelaine Petsch, Ryan Bown, Matus Lajcak",4.6,"20,614",43.0,R,,21.0,43.0
Mother of the Bride,2024-05-08,303,5.904,"Romance, Comedy",,,90.0,25.601,"Brad Krevoy Television, Motion Picture Corporation of America, Living Films","Thailand, United States of America",English,Mark Waters,Robin Bernheim,"Brooke Shields, Miranda Cosgrove, Benjamin Bratt",4.8,"15,131",,TV-PG,,13.0,
Kingdom of the Planet of the Apes,2024-05-08,3554,7.092,"Science Fiction, Adventure, Action",160000000.0,397378150.0,145.0,153.444,"20th Century Studios, Oddball Entertainment, Jason T. Reed Productions",United States of America,English,Wes Ball,"Josh Friedman, Rick Jaffa, Amanda Silver","Owen Teague, Freya Allan, Kevin Durand",6.9,"144,456",66.0,PG-13,Nominated for 1 Oscar. 2 wins & 46 nominations total,80.0,66.0
IF,2024-05-08,1266,7.1,"Comedy, Fantasy, Family",110000000.0,190309707.0,104.0,110.687,"Paramount Pictures, Sunday Night Productions, Maximum Effort",United States of America,"English, Danish, French",John Krasinski,John Krasinski,"Cailey Fleming, Ryan Reynolds, John Krasinski",6.4,"52,346",46.0,PG,6 nominations total,50.0,46.0
I Saw the TV Glow,2024-05-03,410,6.1,"Drama, Horror",10000000.0,5396508.0,100.0,34.743,"A24, Fruit Tree, Smudge Films, Hypnic Jerk, Access Entertainment",United States of America,English,Jane Schoenbrun,Jane Schoenbrun,"Justice Smith, Brigette Lundy-Paine, Ian Foreman",5.8,"30,546",86.0,PG-13,6 wins & 61 nominations total,84.0,86.0
The Idea of You,2024-05-02,1611,7.399,"Romance, Drama, Comedy",,36178.0,116.0,89.601,"Welle Entertainment, Somewhere Pictures, I'll Have Another, Semi-Formal Productions, Amazon MGM Studios, Metro-Goldwyn-Mayer",United States of America,English,Michael Showalter,"Robinne Lee, Michael Showalter, Jennifer Westfeldt","Anne Hathaway, Nicholas Galitzine, Ella Rubin",6.3,"67,799",67.0,R,7 nominations total,81.0,67.0
Tarot,2024-05-01,1113,6.5,Horror,8000000.0,49256239.0,92.0,49.017,"Screen Gems, Alloy Entertainment, Ground Control Entertainment, Capstone Pictures",United States of America,English,"Spenser Cohen, Anna Halberg","Spenser Cohen, Anna Halberg, Nicholas Adams","Harriet Slater, Adain Bradley, Jacob Batalon",4.8,"29,310",36.0,PG-13,,17.0,36.0
The Garfield Movie,2024-04-30,1201,7.1,"Animation, Comedy, Family, Adventure",60000000.0,254907482.0,100.0,141.757,"Alcon Entertainment, DNEG, Wayfarer Studios, One Cool Group, Stage 6 Films, Andrews McMeel Entertainment, John Cohen Productions","Hong Kong, United Kingdom, United States of America",English,Mark Dindal,"Paul A. Kaplan, Mark Torgove, David Reynolds","Chris Pratt, Samuel L. Jackson, Hannah Waddingham",5.7,"22,625",31.0,PG,2 wins & 3 nominations total,37.0,31.0
