ID;GENRE_IDS;RELEASE_DATE;VOTE_COUNT;VOTE_AVERAGE;TITLE
976573;[16, 35, 10751, 14, 10749];2023-06-14;4656;7.6;Elemental
736769;[35, 878, 9648];2023-06-14;593;6.569;They Cloned Tyrone
298618;[12, 28, 878];2023-06-13;4386;6.673;The Flash
697843;[28, 53];2023-06-09;2517;7.4;Extraction 2
1010581;[10749, 18];2023-06-08;3516;7.843;My Fault
747188;[35, 18];2023-06-08;1975;6.5;Asteroid City
667538;[878, 12, 28];2023-06-06;4780;7.3;Transformers: Rise of the Beasts
1050035;[9648, 53, 18];2023-06-02;619;8.0;Monster
985617;[18, 53];2023-06-02;440;6.4;Reality
666277;[18, 10749];2023-06-02;1801;7.7;Past Lives
955555;[28, 80, 35, 53, 18];2023-05-31;451;7.2;The Roundup: No Way Out
569094;[16, 28, 12, 878];2023-05-31;7275;8.351;Spider-Man: Across the Spider-Verse
532408;[27, 53, 9648];2023-05-31;905;6.4;The Boogeyman
986070;[28, 27, 53];2023-05-26;354;6.321;The Wrath of Becky
717930;[28, 53];2023-05-25;1060;6.8;Kandahar
447277;[12, 10751, 14, 10749];2023-05-18;2991;6.3;The Little Mermaid
385687;[28, 80, 53];2023-05-17;5754;7.061;Fast X
921452;[18, 36, 10749];2023-05-16;556;7.0;Jeanne du Barry
536437;[9648, 53, 878, 28];2023-05-11;1246;6.2;Hypnotic
998022;[18];2023-05-04;531;7.2;The Teachers' Lounge
758336;[10749, 18, 35];2023-05-04;395;6.729;Love Again
552688;[28, 53];2023-05-04;1280;6.639;The Mother
447365;[878, 12, 28];2023-05-03;7110;8.0;Guardians of the Galaxy Vol. 3
1102776;[28];2023-04-28;637;6.87;AKA
455476;[14, 28, 12];2023-04-27;1155;6.369;Knights of the Zodiac
890771;[53, 18, 27];2023-04-26;638;5.974;The Black Demon
1098110;[28, 18, 10752];2023-04-21;378;6.7;Blood & Gold
420808;[10751, 14, 28, 12];2023-04-20;687;5.471;Peter Pan & Wendy
882569;[10752, 28, 53];2023-04-19;2645;7.756;Guy Ritchie's The Covenant
868759;[28, 35, 10749];2023-04-18;1854;6.933;Ghosted
948713;[28, 12, 10752];2023-04-14;701;7.2;The Last Kingdom: Seven Kings Must Die
798286;[35, 12, 14];2023-04-14;1058;6.745;Beau Is Afraid
1085218;[53, 28];2023-04-13;498;6.5;Darkland: The Return
713704;[27, 53];2023-04-12;3183;6.9;Evil Dead Rise
931102;[28, 35, 18];2023-04-07;356;7.3;Ride On
649609;[35, 27, 28];2023-04-07;1770;6.504;Renfield
605886;[53, 80, 18];2023-04-06;1088;6.9;To Catch a Killer
964980;[18, 36];2023-04-05;1976;7.333;Air
796185;[12, 28, 18, 36];2023-04-05;1234;6.959;The Three Musketeers: D'Artagnan
758323;[27, 53];2023-04-05;2792;7.0;The Pope's Exorcist
502356;[16, 10751, 12, 14, 35];2023-04-05;9424;7.6;The Super Mario Bros. Movie
1071806;[18];2023-04-04;416;7.3;Hunger
1016121;[10749, 18, 35];2023-04-04;801;6.7;Beautiful Disaster
1000492;[18];2023-03-29;584;7.996;All Your Faces
555285;[35, 18];2023-03-29;388;7.3;Are You There God? It's Me, Margaret.
638974;[9648, 35, 80];2023-03-28;1721;6.428;Murder Mystery 2
943930;[27, 53, 9648];2023-03-24;402;5.999;Tin & Tina
800787;[18, 35];2023-03-23;357;7.1;A Good Person
493529;[12, 14, 35];2023-03-23;3786;7.342;Dungeons & Dragons: Honor Among Thieves
603692;[28, 53, 80];2023-03-22;6825;7.7;John Wick: Chapter 4
881164;[80, 9648, 53];2023-03-16;708;6.646;Boston Strangler
726759;[53, 36, 18];2023-03-15;1368;7.704;Tetris
594767;[35, 28, 14];2023-03-15;3207;6.499;Shazam! Fury of the Gods
626332;[18, 36];2023-03-11;686;7.961;Flamin' Hot
978870;[53, 80];2023-03-09;478;7.2;Last Night of Amore
958196;[53, 18];2023-03-09;389;5.611;Inside
933419;[35, 18];2023-03-09;400;6.7;Champions
934433;[27, 80, 53];2023-03-08;2706;7.0;Scream VI
921785;[35, 36, 10402];2023-03-02;443;7.4;Mixed by Erry
700391;[28, 12, 878];2023-03-02;2471;6.0;65
459003;[16, 12, 10751, 14];2023-03-02;771;7.223;Mavka: The Forest Song
677179;[18, 28];2023-03-01;2574;7.114;Creed III
977506;[80, 35, 9648, 18];2023-02-24;402;6.4;The Crime Is Mine
852096;[35, 14, 27];2023-02-24;604;6.482;We Have a Ghost
